trade_date,signal_date,symbol,side,quantity,price,gross_amount,commission,stamp_duty,net_amount,realized_pnl
2024-08-12,2024-08-09,510300.SH,SELL,600,3.1784100000000004,1907.0460000000003,5.0,0.0,1902.0460000000003,-2.757282171473662
2024-08-12,2024-08-09,512880.SH,SELL,2200,0.8025985000000001,1765.7167000000002,5.0,0.0,1760.7167000000002,-31.51620861999936
2024-08-12,2024-08-09,588000.SH,SELL,100,0.7386305000000001,73.86305,5.0,0.0,68.86305,-6.59728131
2024-08-12,2024-08-09,512660.SH,BUY,3900,0.8714354999999999,3398.5984499999995,5.0,0.0,3403.5984499999995,0.0
2024-08-19,2024-08-16,510300.SH,SELL,400,3.1964010000000003,1278.5604,5.0,0.0,1273.5604,3.691545219017371
2024-08-19,2024-08-16,512880.SH,SELL,2300,0.8095950000000001,1862.0685,5.0,0.0,1857.0685,-16.62954082999954
2024-08-19,2024-08-16,588000.SH,SELL,700,0.73963,517.741,5.0,0.0,512.741,-15.481319170000006
2024-08-19,2024-08-16,512660.SH,BUY,4400,0.8524259999999999,3750.6743999999994,5.0,0.0,3755.6743999999994,0.0
2024-08-26,2024-08-23,510300.SH,SELL,900,3.182408,2864.1672000000003,5.0,0.0,2859.1672000000003,1.962276742789527
2024-08-26,2024-08-23,512880.SH,SELL,300,0.7946025000000001,238.38075000000003,5.0,0.0,233.38075000000003,-11.014646629999902
2024-08-26,2024-08-23,512660.SH,BUY,1400,0.8304149999999999,1162.581,5.0,0.0,1167.581,0.0
2024-08-26,2024-08-23,588000.SH,BUY,2600,0.718359,1867.7333999999998,5.0,0.0,1872.7333999999998,0.0
2024-09-02,2024-08-30,512660.SH,SELL,700,0.83958,587.706,5.0,0.0,582.706,-49.91300651875622
2024-09-02,2024-08-30,512880.SH,SELL,2000,0.8085955000000001,1617.1910000000003,5.0,0.0,1612.1910000000003,-17.11164419999932
2024-09-02,2024-08-30,588000.SH,SELL,200,0.7246375,144.9275,5.0,0.0,139.9275,-10.922341021539665
2024-09-02,2024-08-30,510300.SH,BUY,700,3.171585,2220.1095,5.0,0.0,2225.1095,0.0
2024-09-09,2024-09-06,512880.SH,SELL,4400,0.8005995000000001,3522.6378000000004,5.0,0.0,3517.6378000000004,-66.82801723999864
2024-09-09,2024-09-06,512660.SH,BUY,900,0.812406,731.1654,5.0,0.0,736.1654,0.0
2024-09-09,2024-09-06,588000.SH,BUY,4300,0.6923459999999999,2977.0878,5.0,0.0,2982.0878,0.0
2024-09-18,2024-09-13,512880.SH,SELL,2700,0.8025985000000001,2167.0159500000004,5.0,0.0,2162.0159500000004,-37.54261966999911
2024-09-18,2024-09-13,510300.SH,BUY,600,3.017508,1810.5048,5.0,0.0,1815.5048,0.0
2024-09-18,2024-09-13,512660.SH,BUY,300,0.8034015,241.02045,5.0,0.0,246.02045,0.0
2024-09-23,2024-09-20,510300.SH,SELL,800,3.056471,2445.1768,5.0,0.0,2440.1768,-98.37041760963211
