rebalance_date,symbol,target_weight,rank,momentum_score
2024-02-08,512880.SH,0.25,1,-0.20570691473617103
2024-02-08,510500.SH,0.25,2,-0.22931268049141665
2024-02-08,159928.SZ,0.25,3,-0.26220696234109997
2024-02-08,510300.SH,0.25,4,-0.2798658518683224
2024-02-23,510300.SH,0.25,1,-0.18760714038473505
2024-02-23,159928.SZ,0.25,2,-0.2006687805509056
2024-02-23,512880.SH,0.25,3,-0.20201839162418544
2024-02-23,510500.SH,0.25,4,-0.20956048583974132
2024-03-01,510300.SH,0.25,1,-0.09577908341880262
2024-03-01,159928.SZ,0.25,2,-0.15544316977667466
2024-03-01,510500.SH,0.25,3,-0.16344363176774682
2024-03-01,512880.SH,0.25,4,-0.17338489893937178
2024-03-08,510300.SH,0.25,1,-0.04281464440920806
2024-03-08,510500.SH,0.25,2,-0.1446014619688177
2024-03-08,159928.SZ,0.25,3,-0.1506846180282778
2024-03-08,512880.SH,0.25,4,-0.15574428802829368
2024-03-15,510300.SH,0.25,1,-0.00753411080739836
2024-03-15,159928.SZ,0.25,2,-0.07547298078717825
2024-03-15,510500.SH,0.25,3,-0.09296055152810836
2024-03-15,516160.SH,0.25,4,-0.12150367623781344
2024-03-22,510300.SH,0.25,1,-6.033794834624059e-06
2024-03-22,159928.SZ,0.25,2,-0.017495805934651557
2024-03-22,510500.SH,0.25,3,-0.04364363437478835
2024-03-22,516160.SH,0.25,4,-0.04952005165424797
2024-03-29,510300.SH,0.25,1,0.0028868244724788656
2024-03-29,159928.SZ,0.25,2,-0.0013386205497386066
2024-03-29,516160.SH,0.25,3,-0.016075661631811494
2024-03-29,159915.SZ,0.25,4,-0.022436708686173524
2024-04-03,510300.SH,0.25,1,0.016355329511653287
2024-04-03,159928.SZ,0.25,2,-8.368447104402819e-10
2024-04-03,516160.SH,0.25,3,-0.0026971039209047263
2024-04-03,159915.SZ,0.25,4,-0.007131506482971508
2024-04-12,510300.SH,0.25,1,0.06160259279779556
2024-04-12,159928.SZ,0.25,2,0.002942102675184916
2024-04-12,516160.SH,0.25,3,-3.312961459682503e-09
2024-04-12,159915.SZ,0.25,4,-0.0007858315002642696
2024-04-19,510300.SH,0.25,1,0.13587095368481053
2024-04-19,159928.SZ,0.25,2,0.024387839504711913
2024-04-19,516160.SH,0.25,3,5.539708846388762e-05
2024-04-19,159915.SZ,0.25,4,-3.242715457428405e-10
2024-04-26,510300.SH,0.25,1,0.17616824166272205
2024-04-26,159928.SZ,0.25,2,0.07648636029990022
2024-04-26,510500.SH,0.25,3,0.0006286827150139273
2024-04-26,159915.SZ,0.25,4,0.00043350761458838634
2024-04-30,510300.SH,0.25,1,0.20506599188566216
2024-04-30,159928.SZ,0.25,2,0.10640232028984413
2024-04-30,510500.SH,0.25,3,0.0039516786900633885
2024-04-30,159915.SZ,0.25,4,0.0031898250776141303
2024-05-10,510300.SH,0.25,1,0.25034377395905344
2024-05-10,159928.SZ,0.25,2,0.1664373871541276
2024-05-10,510500.SH,0.25,3,0.029810873492310628
2024-05-10,159915.SZ,0.25,4,0.0233723281744067
2024-05-17,510300.SH,0.25,1,0.2859163526337251
2024-05-17,159928.SZ,0.25,2,0.22973153832905296
2024-05-17,510500.SH,0.25,3,0.06666996871257394
2024-05-17,159915.SZ,0.25,4,0.056152604168684665
2024-05-24,510300.SH,0.25,1,0.3478195436523706
2024-05-24,159928.SZ,0.25,2,0.34225790681138424
2024-05-24,510500.SH,0.25,3,0.13981106228208115
