trade_date,symbol,open,high,low,close,volume,amount,adj_factor
2024-07-25,159949.SZ,0.712,0.718,0.709,0.712,4733818.0,337354852.4,
2024-07-26,159949.SZ,0.714,0.724,0.713,0.719,4690967.0,336786947.992,
2024-07-29,159949.SZ,0.716,0.717,0.705,0.707,3858482.0,273337554.3,
2024-07-30,159949.SZ,0.705,0.708,0.701,0.705,4151813.0,292293488.064,
2024-07-31,159949.SZ,0.704,0.73,0.701,0.729,8764285.0,631618106.408,
2024-08-01,159949.SZ,0.729,0.731,0.717,0.718,6777302.0,489297359.758,
2024-08-02,159949.SZ,0.713,0.718,0.701,0.704,8019840.0,568072422.302,
2024-08-05,159949.SZ,0.697,0.709,0.688,0.689,9190628.0,642338918.898,
2024-08-06,159949.SZ,0.697,0.703,0.691,0.699,5844396.0,407756525.0,
2024-08-07,159949.SZ,0.696,0.701,0.694,0.695,3809655.0,265781002.4,
2024-08-08,159949.SZ,0.692,0.698,0.684,0.691,5564338.0,384066263.6,
2024-08-09,159949.SZ,0.695,0.699,0.684,0.685,4490861.0,310173183.5,
2024-08-12,159949.SZ,0.684,0.687,0.68,0.682,5423835.0,370166262.6,
2024-08-13,159949.SZ,0.682,0.691,0.68,0.69,6551718.0,448265706.52,
2024-08-14,159949.SZ,0.688,0.69,0.68,0.681,4085008.0,279203435.2,
2024-08-15,159949.SZ,0.679,0.691,0.678,0.685,6478496.0,443384742.9,
2024-08-16,159949.SZ,0.685,0.69,0.682,0.685,4401943.0,301950381.1,
2024-08-19,159949.SZ,0.684,0.694,0.683,0.686,5059246.0,348578683.985,
2024-08-20,159949.SZ,0.686,0.687,0.676,0.677,5592109.0,380208184.2,
2024-08-21,159949.SZ,0.675,0.68,0.672,0.675,3756640.0,253819337.6,
2024-08-22,159949.SZ,0.676,0.677,0.668,0.67,4905157.0,329326497.36,
2024-08-23,159949.SZ,0.667,0.674,0.666,0.67,4604275.0,308204257.536,
2024-08-26,159949.SZ,0.671,0.676,0.667,0.67,4464413.0,299602611.6,
