symbol,target_weight,rebalance_date,score,rank,volatility_20,hold_reason
588080.SH,0.30519369646552413,2025-11-14,0.18082920224815396,4,0.018797931145765882,keep_buffer
159915.SZ,0.27310686020288377,2025-11-28,0.11614291229712222,2,0.01613039886488528,keep_top_buy
159995.SZ,0.28105484466200703,2025-11-28,0.039973658153006894,3,0.01762963137574507,keep_top_buy
588080.SH,0.30519369646552413,2025-11-28,0.030311102071176252,6,0.01440563810248857,keep_buffer
159915.SZ,0.27310686020288377,2025-12-12,0.14678622487316428,1,0.014729749102235576,keep_top_buy
159995.SZ,0.28105484466200703,2025-12-12,0.11779341650103259,3,0.015241609925982988,keep_top_buy
588080.SH,0.30519369646552413,2025-12-12,0.08482286776875606,4,0.012178797011532887,keep_buffer
159915.SZ,0.27310686020288377,2025-12-26,0.1283960658850588,3,0.014726266237029988,keep_top_buy
159995.SZ,0.28105484466200703,2025-12-26,0.07986791454954872,5,0.015524419475976542,keep_buffer
588080.SH,0.30519369646552413,2025-12-26,0.04993644525347075,8,0.012956069967691799,keep_buffer
